86,97,63,91
81,82,68,97
79,72,77,83
69,91,78,57
88,90,41,98
71,89,72,91
84,77,92,84
87,78,99,89
70,86,74,58
96,83,46,86
83,98,79,60
87,81,82,46
79,96,79,84
74,85,78,78
80,81,69,84
69,86,78,87
85,84,58,63
80,88,89,96
73,81,87,91
89,93,81,64
88,77,83,63
87,89,66,82
85,81,84,78
98,92,98,92
63,84,66,63
83,89,57,97
85,71,73,81
98,88,46,85
75,65,76,71
82,89,63,71
81,71,56,77
75,83,76,87
86,75,99,76
90,78,60,94
73,78,95,48
83,58,47,69
87,80,75,64
85,77,51,88
75,76,38,97
90,78,81,56
85,77,67,83
83,69,72,69
85,88,94,97
76,74,81,99
81,84,57,93
78,81,77,94
77,81,75,68
93,81,78,74
82,77,75,52
78,73,86,94
66,78,70,95
62,82,74,92
85,60,77,64
70,68,56,56
84,91,72,76
64,72,94,78
75,88,92,93
72,90,54,75
77,78,85,83
78,75,58,51
76,79,75,94
65,75,77,66
72,78,56,85
82,87,90,84
90,78,84,94
95,82,71,57
90,54,77,79
83,84,99,93
71,83,83,83
73,80,76,93
92,81,83,93
72,76,74,96
72,77,81,89
63,75,55,69
86,95,66,66
85,83,85,82
78,64,75,93
78,89,65,79
49,75,75,77
73,77,69,70
76,82,87,86
78,70,65,74
86,86,67,85
72,74,79,75
71,71,80,85
85,96,73,99
58,88,83,71
54,85,74,87
70,72,78,90
71,96,48,94
77,83,68,73
89,66,78,64
73,93,58,86
69,94,77,87
72,78,82,57
78,77,59,89
74,64,57,85
56,95,79,82
88,75,68,62
89,79,86,96
